id,type,X,Y,Z,u,v,w,nw,pw,mass,rho,energy,fx,fy,fz,sxx,syy,szz,sxy,sxz,syz,exx,eyy,ezz,exy,exz,eyz,nx,ny,nz,bc,young,poisson,phi,cohesion,psi,h_mod
1,1,0.05,0.05,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-53899.8,-99685.4,-53824.1,-0.180577,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
2,1,0.05,0.15,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-53282,-97725.3,-53230.6,16.3824,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
3,1,0.05,0.25,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-52655,-95663.9,-52619.8,19.8794,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
4,1,0.05,0.35,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-52036.8,-93678.3,-52009.8,23.2113,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
5,1,0.05,0.45,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-51366.6,-91650,-51343.6,30.393,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
6,1,0.05,0.55,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-50661,-89643.2,-50640.7,34.9697,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
7,1,0.05,0.65,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-49900.5,-87627,-49882.8,39.7517,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
8,1,0.05,0.75,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-49088.6,-85615.2,-49073.6,43.8424,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
9,1,0.05,0.85,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-48222.6,-83601.2,-48210.7,47.7244,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
10,1,0.05,0.95,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-47306.4,-81587.9,-47297.8,51.1603,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
11,1,0.05,1.05,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-46343.3,-79573.9,-46338.1,54.2121,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
12,1,0.05,1.15,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-45338.5,-77559.9,-45336.8,56.9109,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
13,1,0.05,1.25,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-44297.4,-75545.4,-44299.1,59.2305,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
14,1,0.05,1.35,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-43225.6,-73530.6,-43230.4,61.1137,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
15,1,0.05,1.45,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-42128.2,-71515.6,-42136,62.6699,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
16,1,0.05,1.55,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-41010.2,-69500.5,-41020.4,63.9019,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
17,1,0.05,1.65,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-39875.6,-67485.2,-39887.7,64.8067,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
18,1,0.05,1.75,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-38727.8,-65469.8,-38741.5,65.4022,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
19,1,0.05,1.85,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-37569.7,-63454.3,-37584.6,65.7076,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
